categoria,producto,precio,ingredientes,sabor,perfil,recomendado_con
Entradas,Cazuela pequeña,23000,"pollo o carne desmechada,pico de gallo,queso,nachos","intenso,salado","caliente","cerveza"
Entradas,Cazuela grande,28500,"pollo,carne desmechada,pico de gallo,queso,nachos","abundante,salado","compartir","mojito"
Entradas,Tabla de queso,60000,"quesos,aceitunas,pan","salado,gourmet","compartir","vino"
Entradas,Combinado ibérico,75000,"jamón serrano,chorizo,lomo,queso manchego,aceitunas,pan","gourmet,salado","premium","vino tinto"
Entradas,Tapas ibéricas,35000,"jamón serrano,chorizo,lomo,queso manchego,aceitunas,pan","gourmet","para compartir","sangría"

Cafés,Expreso,5000,"café","intenso","energético","brownie"
Cafés,Americano,7000,"café,agua","suave","clásico","sandwich tradicional"
Cafés,Capuchino,8500,"espresso,leche","cremoso","cafetería","postres"
Cafés,Moka caliente,9000,"café,chocolate,leche","dulce","cafetería","brownie"
Cafés,Carajillo amaretto,11000,"café,amaretto","dulce,fuerte","licor café","postres"
Cafés,Carajillo whisky,14000,"café,whisky","intenso","licor café","carnes"
Cafés,Carajillo vino,15000,"café,vino","afrutado","experimental","tabla de quesos"
Cafés,Carajillo coñac,11000,"café,coñac","fuerte","licor café","brownie"
Cafés,Carajillo ron,9500,"café,ron","dulce","licor café","postres"
Cafés,Latte macchiato,15000,"espresso,leche","suave,cremoso","cafetería","fresas chantilli"
Cafés,Irlandés,15000,"café,whisky,crema","cremoso,fuerte","premium","brownie"
Cafés,Café helado,13000,"café,hielo","refrescante","cold coffee","sandwiches"
Cafés,Moka frío,14500,"café,chocolate,hielo","dulce","cold coffee","brownie"
Cafés,Frapuchino,15000,"café,hielo,leche","dulce,frío","cafetería","postres"
Cafés,Aromática tradicional,5000,"hierbas","suave","caliente","postres"
Cafés,Aromática frutos rojos,7000,"frutos rojos","dulce","infusión","fresas chantilli"
Cafés,Té chai,9000,"té,especias,leche","especiado","caliente","postres"

Postres,Brownie,14000,"brownie,chantilli,canela","dulce,chocolate","postre caliente","capuchino"
Postres,Fresas chantilli,15500,"fresas,chantilli,lecherita","dulce,frutal","postre frío","latte macchiato"

Sándwiches,Ibérico,35000,"jamón serrano,chorizo,lomo,queso manchego,aceitunas","salado,gourmet","premium","vino tinto"
Sándwiches,IL Cafeto Mixto,26500,"pollo,carne desmechada,pepino agridulce,cebolla caramelizada,queso","dulce,salado","especialidad","cerveza"
Sándwiches,Hawaiano,20000,"jamón,piña,queso","dulce,salado","tropical","smoothie"
Sándwiches,Tradicional,20000,"jamón,queso,tomate","clásico","simple","americano"
Sándwiches,Pollo,26000,"pechuga,champiñones","salado","proteico","limonada"
Sándwiches,Pollo desmechado,23000,"pollo desmechado","casero","tradicional","jugo natural"
Sándwiches,Carne desmechada,26000,"carne desmechada,pepino agridulce,cebolla caramelizada","intenso","especial","cerveza"
Sándwiches,Bacon,25000,"jamón,tocineta ahumada,queso","ahumado,salado","fuerte","coca cola"
Sándwiches,Vegetariano,22000,"maíz,champiñones,queso","vegetal","vegetariano","smoothie"
Sándwiches,Atún,26000,"atún,champiñones,queso","marino,salado","proteico","vino blanco"
Sándwiches,Cerdo,25000,"cañón de cerdo,queso","intenso","especial","cerveza artesanal"

Carnes,Brocheta de cerdo,36000,"cerdo,papas,ensalada,pan","salado","parrilla","cerveza"
Carnes,Pechuga gratinada,40000,"pollo,champiñones,queso","cremoso","gratinado","vino blanco"
Carnes,Cañón,39000,"cañón de cerdo,papas,ensalada","jugoso","premium","vino tinto"
Carnes,Milanesa,39000,"carne apanada,papas","crujiente","clásico","cerveza"
Carnes,Solomito,42000,"solomito,papas,ensalada","premium","carne fina","merlot"
Carnes,Salmón,47000,"salmón,camarones,papas,ensalada","marino","premium","vino blanco"

Ensaladas,Ensalada en bowl,30000,"lechuga,queso,tomate,maíz,champiñones,aceitunas,atún o pollo","fresco","saludable","vino rosado"

Adiciones,Adición queso,5000,"queso","cremoso","extra","sandwiches"
Adiciones,Champiñones,5000,"champiñones","salado","extra","carnes"
Adiciones,Tocineta,7000,"tocineta","ahumado","extra","maíz especial"

Bebidas,Limonada natural,8500,"limón,azúcar","cítrico","refrescante","carnes"
Bebidas,Limonada lychee,14500,"lychee,limón","dulce,tropical","especial","ensaladas"
Bebidas,Coco,15000,"coco,leche en polvo","cremoso,tropical","dulce","postres"
Bebidas,Cereza,14000,"cereza","dulce","frutal","sandwiches"
Bebidas,Hierbabuena,10000,"hierbabuena,limón","mentolado","refrescante","mojito"
Bebidas,Piña hierbabuena,13000,"piña,hierbabuena","tropical","refrescante","salmón"
Bebidas,Jugo agua,7500,"fruta,agua","natural","ligero","almuerzos"
Bebidas,Jugo leche,9000,"fruta,leche","cremoso","natural","postres"
Bebidas,Avena,11500,"avena,leche","cremoso","tradicional","desayunos"
Bebidas,Milo frío,10500,"milo,leche","dulce","energético","brownie"
Bebidas,Botella agua,6000,"agua","neutral","hidratación","cualquier comida"
Bebidas,Soda michelada,9000,"soda,sal,limón","cítrico","refrescante","nachos"
Bebidas,Soda saborizada,14000,"soda,sal,limón,sirope","dulce,cítrico","especial","sandwiches"
Bebidas,Batido de proteína,18000,"proteína,leche o agua","proteico","fitness","pollo"
